MGYA00241640	ERZ501543
MGYA00241305	ERZ501544
MGYA00241641	ERZ501545
MGYA00241306	ERZ501546
MGYA00241708	ERZ501547
MGYA00241307	ERZ501548
MGYA00241709	ERZ501549
MGYA00241308	ERZ501550
MGYA00241710	ERZ501551
MGYA00241309	ERZ501552
MGYA00241711	ERZ501553
MGYA00241310	ERZ501554
MGYA00241712	ERZ501555
MGYA00241333	ERZ501556
MGYA00241334	ERZ501557
MGYA00241713	ERZ501558
MGYA00241335	ERZ501559
MGYA00241714	ERZ501560
MGYA00241336	ERZ501561
MGYA00241715	ERZ501562
MGYA00241716	ERZ501563
MGYA00241337	ERZ501564
MGYA00241717	ERZ501565
MGYA00241338	ERZ501566
MGYA00241718	ERZ501567
MGYA00241339	ERZ501568
MGYA00241719	ERZ501569
MGYA00241340	ERZ501570
MGYA00241720	ERZ501571
MGYA00241341	ERZ501572
MGYA00241721	ERZ501573
MGYA00241342	ERZ501574
MGYA00241722	ERZ501575
MGYA00241343	ERZ501576
MGYA00241723	ERZ501577
MGYA00241344	ERZ501578
MGYA00241724	ERZ501579
MGYA00241345	ERZ501580
MGYA00241642	ERZ501581
MGYA00241346	ERZ501582
MGYA00241643	ERZ501583
MGYA00241347	ERZ501584
MGYA00241644	ERZ501585
MGYA00241348	ERZ501586
MGYA00241645	ERZ501587
MGYA00241349	ERZ501588
MGYA00241646	ERZ501589
MGYA00241350	ERZ501590
MGYA00241647	ERZ501591
MGYA00241351	ERZ501592
MGYA00241648	ERZ501593
MGYA00241352	ERZ501594
MGYA00241649	ERZ501595
MGYA00241353	ERZ501596
MGYA00241650	ERZ501597
MGYA00241354	ERZ501598
MGYA00241651	ERZ501599
MGYA00241652	ERZ501601
MGYA00241378	ERZ501602
MGYA00241653	ERZ501603
MGYA00241379	ERZ501604
MGYA00241654	ERZ501605
MGYA00241380	ERZ501606
MGYA00241655	ERZ501607
MGYA00241381	ERZ501608
MGYA00241382	ERZ501610
MGYA00241657	ERZ501611
MGYA00241383	ERZ501612
MGYA00241658	ERZ501613
MGYA00241384	ERZ501614
MGYA00241659	ERZ501615
MGYA00241386	ERZ501618
MGYA00241661	ERZ501619
MGYA00241387	ERZ501620
MGYA00241662	ERZ501621
MGYA00241388	ERZ501622
MGYA00241390	ERZ501626
MGYA00241726	ERZ501627
MGYA00241391	ERZ501628
MGYA00241727	ERZ501629
MGYA00241392	ERZ501630
MGYA00241728	ERZ501631
MGYA00241393	ERZ501632
MGYA00241729	ERZ501633
MGYA00241394	ERZ501634
MGYA00241730	ERZ501635
MGYA00241395	ERZ501636
MGYA00241731	ERZ501637
MGYA00241396	ERZ501638
MGYA00241397	ERZ501640
MGYA00241732	ERZ501641
MGYA00241398	ERZ501642
MGYA00241733	ERZ501643
MGYA00241407	ERZ501644
MGYA00241734	ERZ501645
MGYA00241408	ERZ501646
MGYA00241735	ERZ501647
MGYA00241409	ERZ501648
MGYA00241736	ERZ501649
MGYA00241410	ERZ501650
MGYA00241737	ERZ501651
MGYA00241411	ERZ501652
MGYA00241738	ERZ501653
MGYA00241412	ERZ501654
MGYA00241739	ERZ501655
MGYA00241413	ERZ501656
MGYA00241414	ERZ501657
MGYA00241740	ERZ501658
MGYA00241415	ERZ501659
MGYA00241741	ERZ501660
MGYA00241416	ERZ501661
MGYA00241742	ERZ501663
MGYA00241417	ERZ501664
MGYA00241743	ERZ501665
