ERZ1699648,MGYA00581508
ERZ1699649,MGYA00581505
ERZ1699655,MGYA00581501
ERZ1699657,MGYA00581507
ERZ1699647,MGYA00581506
ERZ1699651,MGYA00581511
ERZ1699652,MGYA00581504
ERZ1699646,MGYA00581515
ERZ1699656,MGYA00581514
ERZ1699650,MGYA00581512
ERZ1699653,MGYA00581510
ERZ1699654,MGYA00581503
ERZ1699658,MGYA00581509
ERZ1699659,MGYA00581502
ERZ1699660,MGYA00581513
ERZ2772494,MGYA00587052
ERZ1669332,MGYA00579919
ERZ1669331,MGYA00579920
ERZ1669350,MGYA00579902
ERZ1669366,MGYA00579886
ERZ1669334,MGYA00579922
ERZ1669346,MGYA00579906
ERZ1669360,MGYA00579892
ERZ1673711,MGYA00580240
ERZ1673726,MGYA00580254
ERZ1673742,MGYA00580208
ERZ1689206,MGYA00588347
ERZ1689870,MGYA00588421
ERZ1689983,MGYA00588073
ERZ1690073,MGYA00588514
ERZ1740190,MGYA00588700
ERZ1757562,MGYA00587767
ERZ1669337,MGYA00579915
ERZ1669345,MGYA00579907
ERZ1669347,MGYA00579905
ERZ1669353,MGYA00579899
ERZ1669363,MGYA00579889
ERZ1669335,MGYA00579917
ERZ1669336,MGYA00579916
ERZ1669341,MGYA00579911
ERZ1669352,MGYA00579900
ERZ1669333,MGYA00579918
ERZ1669330,MGYA00579921
ERZ1669339,MGYA00579913
ERZ1669349,MGYA00579903
ERZ1669364,MGYA00579888
ERZ1669340,MGYA00579912
ERZ1669348,MGYA00579904
ERZ1669354,MGYA00579898
ERZ1669344,MGYA00579908
ERZ1669342,MGYA00579910
ERZ1669343,MGYA00579909
ERZ1669358,MGYA00579894
ERZ1669359,MGYA00579893
ERZ1669365,MGYA00579887
ERZ1745263,MGYA00598850
ERZ1673696,MGYA00580226
ERZ1690160,MGYA00588004
ERZ1673700,MGYA00580230
ERZ1673693,MGYA00580223
ERZ1673694,MGYA00580224
ERZ1673695,MGYA00580225
ERZ1673717,MGYA00580246
ERZ1673728,MGYA00580256
ERZ1673697,MGYA00580227
ERZ1673699,MGYA00580229
ERZ1690688,MGYA00581033
ERZ1690701,MGYA00581047
ERZ1740089,MGYA00588678
ERZ1740122,MGYA00588684
ERZ1740224,MGYA00588627
ERZ1673701,MGYA00580231
ERZ1673698,MGYA00580228
ERZ1689228,MGYA00588816
ERZ1689915,MGYA00587923
ERZ1764578,MGYA00587719
ERZ1764588,MGYA00587735
ERZ1764594,MGYA00587721
ERZ1764597,MGYA00587729
ERZ1764604,MGYA00587714
ERZ1742118,None
ERZ1764695,MGYA00587349
ERZ508776,MGYA00243104
ERZ508798,MGYA00243115
ERZ654885,MGYA00244480
ERZ1757561,MGYA00587768
ERZ1673704,MGYA00580234
ERZ1673703,MGYA00580233
ERZ1689433,MGYA00588581
ERZ1690222,MGYA00588850
ERZ1690235,MGYA00588242
ERZ1690693,MGYA00581051
ERZ1689601,MGYA00588274
ERZ1689767,MGYA00588229
ERZ1690095,MGYA00588311
ERZ1690232,MGYA00588243
ERZ1690706,MGYA00581044
ERZ1742096,None
ERZ1745637,None
ERZ1757564,MGYA00587765
ERZ504670,MGYA00242830
ERZ504676,MGYA00242833
ERZ504770,MGYA00242604
ERZ651877,MGYA00248303
ERZ651908,MGYA00248338
ERZ651921,MGYA00248281
ERZ651934,MGYA00248355
ERZ1764582,MGYA00587741
ERZ1764583,MGYA00587740
ERZ1764584,MGYA00587739
ERZ1764589,MGYA00587734
ERZ1764591,MGYA00587732
ERZ1764592,MGYA00587731
ERZ1764593,MGYA00587730
ERZ1764598,MGYA00587716
ERZ1764599,MGYA00587722
ERZ1764601,MGYA00587728
ERZ1764606,MGYA00587725
ERZ1764607,MGYA00587723
ERZ1764608,MGYA00587713
ERZ1764609,MGYA00587712
ERZ1767602,MGYA00587619
ERZ1689170,MGYA00588361
ERZ1689232,MGYA00588039
ERZ1689423,MGYA00588584
ERZ1689829,MGYA00587938
ERZ1690090,MGYA00588173
ERZ1690203,MGYA00588090
ERZ1694966,MGYA00581611
ERZ1740157,MGYA00588705
ERZ1740214,MGYA00588687
ERZ1673752,MGYA00580195
ERZ1694908,MGYA00581642
ERZ1673705,MGYA00580235
ERZ1673709,MGYA00580238
ERZ1673708,MGYA00580237
ERZ1764728,MGYA00587436
ERZ1673710,MGYA00580239
ERZ1694715,MGYA00581707
ERZ1694882,MGYA00581649
ERZ1694934,MGYA00581625
ERZ508842,MGYA00243076
ERZ1673744,MGYA00580207
ERZ1767263,MGYA00587540
ERZ1767321,MGYA00587545
ERZ1767344,MGYA00587543
ERZ1689572,MGYA00588488
ERZ1689757,MGYA00587965
ERZ1694933,MGYA00581626
ERZ1673718,MGYA00580247
ERZ1673713,MGYA00580242
ERZ1673720,MGYA00580249
ERZ1673714,MGYA00580243
ERZ1673715,MGYA00580244
ERZ1673721,MGYA00580250
ERZ1673716,MGYA00580245
ERZ1673712,MGYA00580241
ERZ1673719,MGYA00580248
ERZ1673731,MGYA00580258
ERZ1694936,MGYA00581623
ERZ1764711,MGYA00587450
ERZ1764739,MGYA00587428
ERZ1673751,MGYA00580202
ERZ1673749,MGYA00580204
ERZ1673722,MGYA00580222
ERZ1764684,MGYA00587335
ERZ1764689,MGYA00587351
ERZ1673732,MGYA00580259
ERZ1687469,MGYA00588910
ERZ1687814,MGYA00588888
ERZ1673750,MGYA00580203
ERZ1407730,MGYA00563813
ERZ1407732,MGYA00563818
ERZ1478572,None
ERZ1673723,MGYA00580251
ERZ1673724,MGYA00580252
ERZ1673727,MGYA00580255
ERZ1673729,MGYA00580257
ERZ3455891,MGYA00590746
ERZ1673725,MGYA00580253
ERZ1689210,MGYA00588041
ERZ1689502,MGYA00587905
ERZ1689618,MGYA00588464
ERZ1689685,MGYA00588315
ERZ1689805,MGYA00588211
ERZ1689341,MGYA00588765
ERZ1689779,MGYA00587893
ERZ1690066,MGYA00588030
ERZ1764697,MGYA00587459
ERZ1764720,MGYA00587346
ERZ1764762,MGYA00587415
ERZ1764774,MGYA00587407
ERZ1689910,MGYA00588116
ERZ505732,MGYA00248711
ERZ505736,MGYA00248714
ERZ505737,MGYA00248715
ERZ508823,MGYA00243128
ERZ1673740,MGYA00580221
ERZ1673745,MGYA00580206
ERZ1741939,None
ERZ501439,MGYA00241230
ERZ504511,MGYA00242487
ERZ508775,MGYA00243103
ERZ651888,MGYA00248329
ERZ507978,MGYA00242978
ERZ1689405,MGYA00588833
ERZ1689851,MGYA00588180
ERZ1689958,MGYA00588412
ERZ1674080,MGYA00581327
ERZ502011,MGYA00241111
ERZ1741996,None
ERZ504718,MGYA00242862
ERZ1764733,MGYA00587331
ERZ1764883,MGYA00587467
ERZ1673734,MGYA00580199
ERZ1673737,MGYA00580211
ERZ1673736,MGYA00580212
ERZ1673735,MGYA00580261
ERZ1673733,MGYA00580260
ERZ1689850,MGYA00588187
ERZ1673739,MGYA00580210
ERZ1673738,MGYA00580198
ERZ1673741,MGYA00580209
ERZ1740117,MGYA00588721
ERZ1740120,MGYA00588761
ERZ1740137,MGYA00588720
ERZ1740153,MGYA00588652
ERZ1740203,MGYA00588697
ERZ1687851,MGYA00589192
ERZ1767133,MGYA00587592
ERZ1690056,MGYA00587891
ERZ1690140,MGYA00588287
ERZ1690229,MGYA00588244
ERZ1673743,MGYA00580197
ERZ1689860,MGYA00588150
ERZ1689922,MGYA00588110
ERZ1673747,MGYA00580220
ERZ1673746,MGYA00580205
ERZ1673748,MGYA00580196
ERZ1764596,MGYA00587724
ERZ1764600,MGYA00587726
ERZ1764602,MGYA00587720
ERZ1689558,MGYA00588509
ERZ1690033,MGYA00588046
ERZ1690036,MGYA00588859
ERZ1690155,MGYA00587883
ERZ1767358,MGYA00587541
ERZ1689488,MGYA00588549
ERZ1689988,MGYA00588504
ERZ501742,MGYA00241004
ERZ653376,MGYA00244800
ERZ1673753,MGYA00580201
ERZ2272352,MGYA00589404
ERZ1689350,MGYA00588620
ERZ1689374,MGYA00588605
ERZ1689426,MGYA00588583
ERZ1689828,MGYA00588202
ERZ501987,MGYA00241099
ERZ505025,MGYA00248796
ERZ1673993,MGYA00581179
ERZ1674066,MGYA00581350
ERZ1674118,MGYA00581340
ERZ1674138,MGYA00581316
ERZ1674165,MGYA00581302
ERZ1674271,MGYA00581255
ERZ505037,MGYA00248808
ERZ1740219,MGYA00588630
ERZ1687593,MGYA00589142
ERZ651912,MGYA00248340
ERZ508013,MGYA00242872
ERZ1689980,MGYA00588381
ERZ1742105,None
ERZ1742132,None
ERZ507936,MGYA00242935
ERZ651844,MGYA00248263
ERZ1689763,MGYA00588529
ERZ501349,MGYA00241590
ERZ652854,MGYA00243622
ERZ1740163,MGYA00588730
ERZ508833,MGYA00243009
ERZ1742138,None
ERZ651896,MGYA00248332
ERZ1673996,MGYA00581176
ERZ1674001,MGYA00581171
ERZ1674003,MGYA00581169
ERZ1674036,MGYA00581142
ERZ1674083,MGYA00581380
ERZ1674108,MGYA00581362
ERZ1674161,MGYA00581270
ERZ1674201,MGYA00581114
ERZ1674000,MGYA00581172
ERZ1674007,MGYA00581165
ERZ1674020,MGYA00581152
ERZ1674056,MGYA00581120
ERZ1674103,MGYA00581365
ERZ1674152,MGYA00581221
ERZ1674191,MGYA00581283
ERZ1674235,MGYA00581203
ERZ1674239,MGYA00581208
ERZ1674260,MGYA00581239
ERZ1674274,MGYA00581195
ERZ1674002,MGYA00581170
ERZ1674063,MGYA00581276
ERZ1674081,MGYA00581381
ERZ1674181,MGYA00581286
ERZ1674182,MGYA00581279
ERZ1674205,MGYA00581393
ERZ1674207,MGYA00581263
ERZ1674219,MGYA00581259
ERZ1674250,MGYA00581197
ERZ1674300,MGYA00581185
ERZ1673998,MGYA00581174
ERZ1673997,MGYA00581175
ERZ1674014,MGYA00581158
ERZ1674070,MGYA00581334
ERZ1674146,MGYA00581273
ERZ1674149,MGYA00581311
ERZ1674163,MGYA00581294
ERZ1674188,MGYA00581395
ERZ1674237,MGYA00581209
ERZ1674290,MGYA00581189
ERZ1674006,MGYA00581166
ERZ1674004,MGYA00581168
ERZ1674023,MGYA00581149
ERZ1674076,MGYA00581331
ERZ1674166,MGYA00581293
ERZ1674186,MGYA00581278
ERZ1674208,MGYA00581113
ERZ1673995,MGYA00581177
ERZ1674050,MGYA00581126
ERZ1673999,MGYA00581173
ERZ1674203,MGYA00581297
ERZ1674251,MGYA00581389
ERZ1674257,MGYA00581384
ERZ1674145,MGYA00581312
ERZ1674223,MGYA00581218
ERZ1674231,MGYA00581214
ERZ1674232,MGYA00581213
ERZ1674029,MGYA00581143
ERZ1674110,MGYA00581361
ERZ1674058,MGYA00581110
ERZ1674125,MGYA00581337
ERZ1674130,MGYA00581336
ERZ1674215,MGYA00581248
ERZ1674245,MGYA00581205
ERZ1674005,MGYA00581167
ERZ1674233,MGYA00581212
ERZ1674236,MGYA00581210
ERZ1674286,MGYA00581227
ERZ1674287,MGYA00581388
ERZ1674047,MGYA00581129
ERZ1674126,MGYA00581324
ERZ1740146,MGYA00588732
ERZ1740218,MGYA00588693
ERZ1673994,MGYA00581178
ERZ1674025,MGYA00581147
ERZ1674048,MGYA00581128
ERZ1674100,MGYA00581367
ERZ1674141,MGYA00581275
ERZ1674156,MGYA00581250
ERZ1674204,MGYA00581296
ERZ1674225,MGYA00581245
ERZ1674229,MGYA00581216
ERZ1674296,MGYA00581186
ERZ1674017,MGYA00581155
ERZ1674022,MGYA00581150
ERZ1674037,MGYA00581136
ERZ1674044,MGYA00581132
ERZ1674262,MGYA00581237
ERZ1674284,MGYA00581229
ERZ1674011,MGYA00581161
ERZ1674194,MGYA00581402
ERZ1674008,MGYA00581164
ERZ1674018,MGYA00581154
ERZ1674049,MGYA00581127
ERZ1674113,MGYA00581359
ERZ1674136,MGYA00581317
ERZ1674159,MGYA00581304
ERZ1674246,MGYA00581200
ERZ1674273,MGYA00581234
ERZ1674009,MGYA00581163
ERZ1740096,MGYA00588645
ERZ1674015,MGYA00581157
ERZ1674030,MGYA00581139
ERZ1674158,MGYA00581249
ERZ1674169,MGYA00581406
ERZ1674280,MGYA00581230
ERZ1674012,MGYA00581160
ERZ1674061,MGYA00581254
ERZ1674071,MGYA00581107
ERZ1674098,MGYA00581115
ERZ1674162,MGYA00581280
ERZ1674192,MGYA00581277
ERZ1674220,MGYA00581390
ERZ1674240,MGYA00581105
ERZ1674241,MGYA00581207
ERZ1674282,MGYA00581192
ERZ1674013,MGYA00581159
ERZ1674046,MGYA00581130
ERZ1674086,MGYA00581409
ERZ1674096,MGYA00581370
ERZ1674307,MGYA00581387
ERZ1674010,MGYA00581162
ERZ1674078,MGYA00581329
ERZ1674088,MGYA00581117
ERZ1674140,MGYA00581314
ERZ1674144,MGYA00581407
ERZ1674160,MGYA00581271
ERZ1674183,MGYA00581285
